Twitter TSAR;TimeSeries AggregatoR by Twitter;Distributed Programming;https://blog.twitter.com/2014/tsar-a-timeseries-aggregator;http://gigaom.com/2014/06/27/twitter-details-how-new-home-grown-system-coordinates-data-analytics/;
Google Dataflow;create data pipelines to help themæingest, transform and analyze data;Distributed Programming;http://googledevelopers.blogspot.it/2014/06/cloud-platform-at-google-io-new-big.html;;
RainstorDB;database for storing petabyte-scale volumes of structured and semi-structured data;SQL-like processing;http://rainstor.com/products/rainstor-database/;;
Lily HBase Indexer;quickly and easily search for any content stored in HBase;Search engine and framework;http://ngdata.github.io/hbase-indexer/;;
SAP HANA;is an in-memory, column-oriented, relational database management system;Key-Map Data Model;http://www.saphana.com/welcome;;
Pivotal Greenplum;purpose-built, dedicated analytic data warehouse;Key-Map Data Model;https://www.pivotal.io/big-data/pivotal-greenplum-database;;
Google Photon;geographically distributed system for joining multiple continuously flowing streams of data in real-time with high scalability and low latency;Data Ingestion;http://research.google.com/pubs/pub41318.html;;
Google Sibyl;System for Large Scale Machine Learning at Google;Machine Learning;http://users.soe.ucsc.edu/~niejiazhong/slides/chandra.pdf;http://www.datanami.com/2014/07/17/inside-sibyl-googles-massively-parallel-machine-learning-platform/;http://www.magicbroom.info/Papers/Ladis10.pdf
Apache Optiq;framework that allows efficient translation of queries involving heterogeneous and federated data;SQL-like processing;https://wiki.apache.org/incubator/OptiqProposal;;
Streamdrill;usefull for counting activities of event streams over different time windows and finding the most active one;Distributed Programming;https://streamdrill.com/;;
Apache Flink;high-performance runtime, and automatic program optimization;Distributed Programming;http://flink.incubator.apache.org/;;
Pinterest Pinlater;asynchronous job execution system;Distributed Programming;http://engineering.pinterest.com/post/91288882494/pinlater-an-asynchronous-job-execution-system;;
Trafodion;enterprise-class SQL-on-HBase solution targeting big data transactional or operational workloads;SQL-like processing;https://wiki.trafodion.org/wiki/index.php/Main_Page;;
MapGraph;Massively Parallel Graph processing on GPUs;Graph Data Model;http://mapgraph.io/;;
Zoomdata;Big Data Analytics;Business Intelligence;http://www.zoomdata.com/;;
Cockroach;Scalable, Geo-Replicated, Transactional Datastore;NewSQL Databases;https://github.com/cockroachdb/cockroach;;
Tephra;Transactions for HBase;Key-Map Data Model;https://github.com/continuuity/tephra;;
Actian Ingres;commercially supported, open-source SQL relational database management system;NewSQL Databases;http://www.actian.com/products/operational-databases/;;
Actian Versant;commercial object-oriented database management systems ;Document Data Model;http://www.actian.com/products/operational-databases/;;
Actian PSQL;ACID-compliant DBMS developed by Pervasive Software, optimized for embedding in applications;Embedded Databases;http://www.actian.com/products/operational-databases/;;
Actian SQL for Hadoop;high performance interactive SQL access to all Hadoop data;SQL-like processing;http://www.actian.com/products/analytics-platform/;;
Oracle Database;object-relational database management system;NewSQL Databases;http://www.oracle.com/us/corporate/features/database-12c/index.html;;
Oracle TimesTen in-Memory Database;in-memory, relational database management system with persistence and recoverability;NewSQL Databases;http://www.oracle.com/technetwork/database/database-technologies/timesten/overview/index.html;;
Oracle NoSQL Database;distributed key-value database by Oracle Corporation;Key-value Data Model;http://www.oracle.com/technetwork/database/database-technologies/nosqldb/overview/index.html;;
IBM Netezza;high-performance data warehouse appliances;PostgreSQL forks and evolutions;http://www-01.ibm.com/software/data/netezza/;;
RecDB;Open Source Recommendation Engine Built Entirely Inside PostgreSQL;PostgreSQL forks and evolutions;http://www-users.cs.umn.edu/~sarwat/RecDB/;;
Stado;open source MPP database system solely targeted at data warehousing and data mart applications;PostgreSQL forks and evolutions;http://www.stormdb.com/community/stado;;
Yahoo Everest;multi-peta-byte database / MPP derived by PostgreSQL;PostgreSQL forks and evolutions;http://www.scribd.com/doc/3159239/70-Everest-PGCon-RT;;
