ActiveMQ;open source messaging and Integration Patterns server;Message-oriented middleware;http://activemq.apache.org/
Apollo;ActiveMQ's next generation of messaging;Message-oriented middleware;http://activemq.apache.org/apollo/
Beanstalkd;simple, fast work queue;Message-oriented middleware;http://kr.github.io/beanstalkd/
Celery;Distributed Task Queue;Message-oriented middleware;http://www.celeryproject.org/
Crossroads I/O;library for building scalable and high performance distributed applications;Message-oriented middleware;http://www.crossroads.io/
Darner;simple, lightweight message queue;Message-oriented middleware;https://github.com/wavii/darner
Gearman;Job Server;Message-oriented middleware;http://gearman.org
HornetQ;open source project to build a multi-protocol, embeddable, very high performance, clustered, asynchronous messaging system;Message-oriented middleware;http://www.jboss.org/hornetq
IronMQ;easy-to-use highly available message queuing service;Message-oriented middleware;http://www.iron.io/mq
Marconi;queuing and notification service made by and for OpenStack, but not only for it;Message-oriented middleware;https://wiki.openstack.org/wiki/Marconi
Bit.ly NSQ;realtime distributed message processing at scale;Message-oriented middleware;https://github.com/bitly/nsq
Apache Qpid;messaging tools that speak AMQP and support many languages and platforms;Message-oriented middleware;http://qpid.apache.org/
RabbitMQ;Robust messaging for applications;Message-oriented middleware;http://www.rabbitmq.com/
RestMQ;message queue which uses HTTP as transport, JSON to format a minimalist protocol and is organized as REST resources;Message-oriented middleware;http://restmq.com/
RQ;simple Python library for queueing jobs and processing them in the background with workers;Message-oriented middleware;http://python-rq.org/
Sidekiq;Simple, efficient background processing for Ruby;Message-oriented middleware;http://sidekiq.org/
Amazon Simple Queue Service;fast, reliable, scalable, fully managed queue service;Message-oriented middleware;http://aws.amazon.com/sqs/
ZeroMQ;The Intelligent Transport Layer;Message-oriented middleware;http://www.zeromq.org/
