Netflix Dynomite;thin Dynamo-based replication for cached data;Key-value Data Model;http://techblog.netflix.com/2014/03/netflixoss-season-2-episode-1.html
MapR-DB;fast, scalable, and enterprise-ready in-Hadoop database architected to manage big data;Key-Map Data Model;http://content.dataversity.net/rs/wilshireconferences/images/MapR-DB_Product_Preview_for_NoSQL_Now.pdf
Facebook Mcrouter;a memcached protocol router for scaling memcached deployments;Memcached forks and evolutions;https://github.com/facebook/mcrouter
Thunder;Large-scale analysis of neural data;Machine Learning;http://thefreemanlab.com/thunder/
cuDNN;GPU-accelerated library of primitives for deep neural networks;Machine Learning;http://devblogs.nvidia.com/parallelforall/accelerate-machine-learning-cudnn-deep-neural-network-library/
LinkedIn GoSpeed;provides RUM data processing, visualization, monitoring, and analyses data daily, hourly, or on a near real-time basis;Business Intelligence;http://engineering.linkedin.com/performance/monitor-and-improve-web-performance-using-rum-data-visualization
Box Tron;proxy to memcached servers;Memcached forks and evolutions;http://engineering.opendns.com/2014/09/16/caching-scale/
Youtube Vitess;provides servers and tools which facilitate scaling of MySQL databases for large scale web services;MySQL forks and evolutions;https://github.com/youtube/vitess
Square Cube;system for collecting timestamped events and deriving metrics;Time series database;http://square.github.io/cube/
Square Cubism.js;a D3 plugin for visualizing time series. Use Cubism to construct better realtime dashboards, pulling data from Graphite, Cube and other sources;Data Visualization;http://square.github.io/cubism/
LinkedIn ml-ease;ADMM based large scale logistic regression;Machine Learning;https://github.com/linkedin/ml-ease
RAMCloud;storage system that provides large-scale low-latency storage by keeping all data in DRAM all the time and aggregating the main memories of thousands of servers;Key-value Data Model;https://ramcloud.atlassian.net/wiki/display/RAM/RAMCloud
Etsy StatsD;simple daemon for easy stats aggregation;Time series database;https://github.com/etsy/statsd/
