Develoop;tool for provisioning, managing and monitoring Apache Hadoop;System Deployment;http://deploop.github.io/
VoltDB;in-memory NewSQL database;NewSQL Databases;http://voltdb.com/
ScaleOut hServer;fast, scalable in-memory data grid for Hadoop;Distributed Programming;http://www.scaleoutsoftware.com/
Apama analytics;platform for streaming analytics and intelligent automated action;Business Intelligence;http://www.softwareag.com/corporate/products/bigdata/apama_analytics/overview/
SQLStream Blaze;stream processing platform;Distributed Programming;http://www.sqlstream.com/blaze/
HParser;data parsing transformation environment optimized for Hadoop;Distributed Programming;http://www.informatica.com/us/products/big-data/hparser/
Vibe Data Stream;streaming data collection for real-time Big Data analytics;Data Ingestion;http://www.informatica.com/us/products/big-data/vibe-data-stream/
AMPLab Succinct;Enabling Queries on Compressed Data;Distributed Programming;http://succinct.cs.berkeley.edu/wp/wordpress/
HyperDex;next generation key-value store;Key-value Data Model;http://hyperdex.org/
BIME Analytics;business intelligence platform in the cloud;Business Intelligence;http://www.bimeanalytics.com/
Sqrrl;NoSQL databases on top of Apache Accumulo;Key-Map Data Model;http://sqrrl.com/product/sqrrl-enterprise/
TokuMX;High-Performance MongoDB Distribution;Document Data Model;http://www.tokutek.com/products/tokumx-for-mongodb/
TokuDB;High-Performance Storage Engine for MySQL and MariaDB;MySQL forks and evolution;http://www.tokutek.com/products/tokudb-for-mysql/
Tessera;Environment for Deep Analysis of Large Complex Data;Business Intelligence;http://tesseradata.org/
Deimos;Mesos containerizer hooks for Docker;System Deployment;https://github.com/mesosphere/deimos
Google Mesa;highly scalable analytic data warehousing system;Data Warehouse;http://static.googleusercontent.com/media/research.google.com/en/us/pubs/archive/42851.pdf
