eBay Oink;REST based interface for PIG execution;Distributed Programming;https://github.com/eBay/oink;http://www.ebaytechblog.com/2014/07/22/oink-making-pig-self-service/
JethroData;index-based SQL engine for Hadoop;SQL-like processing;http://jethrodata.com/product-2/product/;
Ayasdi Core;tool for topological data analysis;Machine Learning;http://www.ayasdi.com/;
Record Breaker;Automatic structure for your text-formatted data;Data Ingestion;http://cloudera.github.io/RecordBreaker/;
Microsoft Cosmos;Microsoft's internal BigData analysis platform;Data Warehouse;http://research.microsoft.com/en-us/events/fs2011/helland_cosmos_big_data_and_big_challenges.pdf;
IBM Watson;cognitive computing system;Machine Learning;http://www.ibm.com/smarterplanet/us/en/ibmwatson/;
IBM DB2;object-relational database management system;NewSQL Databases;http://www.ibm.com/software/data/db2/;
IBM BigInsights;data processing, warehousing and analytics;Data Warehouse;http://www.ibm.com/software/data/infosphere/biginsights/;
IBM Streams;advanced analytic platform that allows user-developed applications to quickly ingest, analyze and correlate information as it arrives from thousands of real-time sources;Distributed Programming;http://www.ibm.com/software/products/en/infosphere-streams;
Teradata Database;complete relational database management system;NewSQL Databases;http://it.teradata.com/products-and-services/Teradata-Database/;
Teradata Aster;Big Data Analytics;Business Intelligence;http://it.teradata.com/Teradata-Aster-Database/;
Teradata QueryGrid;data-access layer that can orchestrate multiple modes of analysis across multiple databases plus Hadoop;Distributed Programming;http://it.teradata.com/Teradata-QueryGrid/;
Spotfire;business intelligence platform;Business Intelligence;http://spotfire.tibco.com/;
TIBCO ActiveSpaces;in-memory data grid;Distributed Programming;http://www.tibco.com/products/automation/in-memory-computing/in-memory-data-grid/activespaces-enterprise-edition;
TIBCO Enterprise Message Service;standards-based messaging middleware;Data Ingestion;http://www.tibco.com/products/automation/enterprise-messaging/enterprise-message-service;
Adatao;business intelligence and data science platform;Business Intelligence;http://adatao.com/pinsights.html;
